PlotID,TreeID,Tree,Site,Species,Canopy,Status,DBH,Distance,Azimuth,x,y,Plot,No.
HMC1,HMC1038,38,HMC West,TSCA,S,Li,11.1,13.2,62,11.65490823,6.197024629,7094,71
HMC1,HMC1039,39,HMC West,TSCA,S,Li,23,12.9,340,-4.412059849,12.12203481,7094,68
HMC1,HMC1040,40,HMC West,TSCA,I,Li,15.6,10.5,286,-10.09324781,2.894192236,7094,52
HMC1,HMC1041,41,HMC West,TSCA,S,Li,10.7,14.1,291,-13.16348401,5.052988089,7094,77
HMC2,HMC2002,2,HMC Rush Lake,TSCA,I,Li,20.1,10.3,185,-0.89770415,-10.26080539,7092,27
HMC2,HMC2027,27,HMC Rush Lake,TSCA,I,Li,37.9,6.4,184,-0.446441432,-6.384409922,7092,25
HMC2,HMC2030,30,HMC Rush Lake,TSCA,,Sn,49.3,12.6,186,-1.317058637,-12.53097588,7092,21
HMC2,HMC2031,31,HMC Rush Lake,TSCA,C,Li,47.5,9.4,220,-6.042203531,-7.200817765,7092,29
HMC2,HMC2037,37,HMC Rush Lake,ACSA,C,Li,56.3,3.4,204,-1.382904586,-3.106054556,7092,28
HMC2,HMC2038,38,HMC Rush Lake,TSCA,D,Li,73.5,14.3,213,-7.788338201,-11.99298912,7092,24
HMC2,HMC2039,39,HMC Rush Lake,TSCA,,Sn,17.1,16.1,209,-7.805434886,-14.08137728,7092,23
HMC2,HMC2040,40,HMC Rush Lake,TSCA,I,Li,30.5,12.4,248,-11.4970798,-4.645121758,7092,31
HMC2,HMC2041,41,HMC Rush Lake,TSCA,I,Li,40.3,14.4,252,-13.69521383,-4.449844719,7092,32
HMC2,HMC2042,42,HMC Rush Lake,TSCA,D,Li,68.2,6.9,272,-6.895796706,0.240806527,7092,33
HMC2,HMC2043,43,HMC Rush Lake,TSCA,D,Li,53.3,3,311,-2.264128741,1.968177087,7092,34
HMC2,HMC2044,44,HMC Rush Lake,TSCA,C,Li,47.9,6.1,310,-4.672871103,3.921004419,7092,35
HMC2,HMC2045,45,HMC Rush Lake,TSCA,I,Li,36.5,11.6,305,-9.502163714,6.653486662,7092,36
HMC2,HMC2046,46,HMC Rush Lake,ACSA,D,Li,44,14.9,307,-11.8996691,8.967043845,7092,37
HMC2,HMC2047,47,HMC Rush Lake,TSCA,C,Li,44.9,5.7,29,2.763414835,4.985332331,7092,1
HMC2,HMC2048,48,HMC Rush Lake,TSCA,D,Li,61.5,14,3,0.732703387,13.98081349,7092,2
HMC2,HMC2049,49,HMC Rush Lake,TSCA,I,Li,37.9,14.8,349,-2.823973132,14.52808232,7092,39
HMC2,HMC2050,50,HMC Rush Lake,TSCA,D,Li,78.3,13.8,32,7.312885846,11.70306373,7092,6
HMC2,HMC2051,51,HMC Rush Lake,TSCA,D,Li,66.4,11.1,54,8.980088638,6.5244163,7092,7
HMC2,HMC2052,52,HMC Rush Lake,TSCA,S,Li,19.5,10.3,60,8.920061659,5.15,7092,8
HMC2,HMC2053,53,HMC Rush Lake,TSCA,C,Li,39.7,14.7,78,14.37876973,3.056301855,7092,9
HMC2,HMC2054,54,HMC Rush Lake,TIAM,D,Li,59.9,5.5,75,5.312592045,1.423504748,7092,10
HMC2,HMC2055,55,HMC Rush Lake,TSCA,C,Li,47.7,11.8,101,11.58320076,-2.251546145,7092,12
HMC2,HMC2056,56,HMC Rush Lake,ACSA,D,Li,62.8,13,104,12.61384444,-3.144984643,7092,13
HMC2,HMC2057,57,HMC Rush Lake,TSCA,,Sn,61,9.9,127,7.906491549,-5.957968729,7092,15
HMC2,HMC2058,58,HMC Rush Lake,TIAM,,Sn,50,10.3,155,4.352968096,-9.334970206,7092,17
HMC3,HMC3027,27,HMC West,TSCA,I,Li,30.2,7.8,271,-7.798812022,0.13612877,7095,52
HMC3,HMC3037,37,HMC West,TSCA,D,Li,40.3,12.9,265,-12.85091161,-1.124309081,7095,51
HMC3,HMC3038,38,HMC West,TSCA,D,Li,46.2,3.5,290,-3.288924173,1.197070502,7095,56
HMC3,HMC3039,39,HMC West,TSCA,Sn,Sn,26.5,6.1,288,-5.801444749,1.885003666,7095,59
HMC3,HMC3040,40,HMC West,TSCA,I,Li,26,15.8,270,-15.8,-2.90E-15,7095,914
HMC3,HMC3041,41,HMC West,TSCA,D,Li,54.4,9.9,351,-1.548701204,9.778114572,7095,73
HMC3,HMC3042,42,HMC West,TSCA,S,Li,18.8,10.3,344,-2.839064765,9.900995468,7095,74
HMC3,HMC3043,43,HMC West,TSCA,D,Li,49.5,7.7,299,-6.734571745,3.733034076,7095,61
HMC3,HMC3044,44,HMC West,TSCA,Sn,Sn,18.3,13.8,340,-4.719877978,12.96775817,7095,70
HMC3,HMC3045,45,HMC West,TSCA,I,Li,21.6,2.2,33,1.198205877,1.845075249,7095,1
HMC3,HMC3046,46,HMC West,TSCA,Sn,Sn,10.4,7.7,351,-1.204545381,7.605200223,7095,81
HMC3,HMC3047,47,HMC West,TSCA,S,Li,19,8.8,304,-7.295530638,4.920897551,7095,63
HMC3,HMC3048,48,HMC West,TSCA,I,Li,23.9,15.1,300,-13.0769836,7.55,7095,67
HMC3,HMC3049,49,HMC West,TSCA,I,Li,37.2,8.3,301,-7.114488596,4.274816022,7095,62
HMC3,HMC3050,50,HMC West,THOC,I,Li,41.6,14.3,283,-13.93349193,3.216800077,7095,57
HMC3,HMC3051,51,HMC West,TSCA,Sn,Sn,23.4,4.5,283,-4.384665292,1.012279745,7095,55
HMC3,HMC3052,52,HMC West,TSCA,C,Li,35.8,15.1,316,-10.48934139,10.86203099,7095,68
HMC3,HMC3054,54,HMC West,TSCA,D,Li,47.6,16,331,-7.756953924,13.99391531,7095,69
HMC3,HMC3055,55,HMC West,TSCA,C,Li,30.7,4.1,263,-4.069439222,-0.499664308,7095,54
HMC3,HMC3071,71,HMC West,BEAL,D,Li,34.2,15,292,-13.90775782,5.619098901,7095,66
HMC3,HMC3075,75,HMC West,TSCA,D,Li,40.4,8.7,177,0.455322819,-8.688076952,7095,39
HMC3,HMC3077,77,HMC West,TSCA,I,Li,22.6,5.9,184,-0.411563195,-5.885627897,7095,40
HMC3,HMC3078,78,HMC West,TSCA,D,Li,44.3,10.8,196,-2.976883443,-10.38162632,7095,36
HMC3,HMC3079,79,HMC West,POGR,D,Li,57.5,14.8,198,-4.573451517,-14.07563644,7095,35
HMC3,HMC3080,80,HMC West,TSCA,C,Li,35.7,9.5,220,-6.106482292,-7.27742221,7095,43
HMC3,HMC3084,84,HMC West,ACSA,D,Li,29.7,11.8,251,-11.15711919,-3.841704223,7095,49
HMC3,HMC3085,85,HMC West,TSCA,S,Li,18.5,13.6,256,-13.19602188,-3.29013778,7095,48
HMC3,HMC3086,86,HMC West,TSCA,C,Li,38.7,15,260,-14.7721163,-2.604722665,7095,50
HMC3,HMC3087,87,HMC West,ACSA,C,Li,20.2,13.9,248,-12.88785558,-5.207031648,7095,47
HMC3,HMC3088,88,HMC West,TSCA,C,Li,24.2,16,251,-15.12829721,-5.209090471,7095,912
HMC3,HMC3090,90,HMC West,ACSA,I,Li,22.2,14.7,215,-8.431573614,-12.04153505,7095,46
HMC3,HMC3091,91,HMC West,TSCA,C,Li,33.5,16,212,-8.478708228,-13.56876954,7095,909
HMC3,HMC3113,113,HMC West,TSCA,D,Li,60.3,5.8,104,5.627715212,-1.403146994,7095,16
HMC3,HMC3114,114,HMC West,TSCA,S,Li,26.4,7.5,91,7.498857714,-0.130893048,7095,17
HMC3,HMC3115,115,HMC West,TSCA,S,Li,25,13.1,152,6.150077472,-11.56661347,7095,30
HMC3,HMC3116,116,HMC West,TSCA,I,Li,17.4,15.9,175,1.38577631,-15.8394957,7095,907
HMC3,HMC3117,117,HMC West,POGR,Sn,Sn,62,15.4,186,-1.609738334,-15.31563719,7095,34
HMC3,HMC3118,118,HMC West,TSCA,D,Li,54.8,8.6,113,7.91634174,-3.360287705,7095,25
HMC3,HMC3119,119,HMC West,TSCA,I,Li,31.6,5.3,118,4.679622242,-2.488199283,7095,15
HMC3,HMC3120,120,HMC West,ACRU,I,Li,20.3,8.3,19,2.702215682,7.847804177,7095,2
HMC3,HMC3121,121,HMC West,TSCA,D,Li,51.2,11.9,140,7.649172555,-9.115928873,7095,28
HMC3,HMC3122,122,HMC West,TSCA,D,Li,43.6,15.1,110,14.18935857,-5.164504164,7095,21
HMC3,HMC3123,123,HMC West,TSCA,I,Li,28,14,65,12.68830902,5.916655664,7095,10
HMC3,HMC3124,124,HMC West,TSCA,I,Li,21.6,8.9,135,6.293250353,-6.293250353,7095,26
HMC3,HMC3125,125,HMC West,TSCA,I,Li,28.3,11.8,62,10.4187816,5.539764441,7095,11
HMC3,HMC3161,161,HMC West,TSCA,I,Li,18.6,14.5,168,3.014719517,-14.18314021,7095,32
HMC3,HMC3163,163,HMC West,TSCA,D,Li,43.4,15,145,8.603646545,-12.28728066,7095,29
HMC3,HMC3164,164,HMC West,TSCA,S,Li,16.7,12,22,4.495279121,11.12620625,7095,6
HMC3,HMC3173,173,HMC West,POGR,D,Li,68.2,12.1,50,9.269137762,7.777730077,7095,9
HMC3,HMC3174,174,HMC West,ACSA,C,Li,24,12.7,163,3.71312065,-12.1450704,7095,37
HMC3,HMC3192,192,HMC West,TSCA,S,Li,10.8,15.5,106,14.89955629,-4.272379015,7095,NA
HMC3,HMC3194,194,HMC West,ACRU,I,Li,17.2,2.9,64,2.606502734,1.271276326,7095,14
HMC3,HMC3195,195,HMC West,TSCA,D,Li,44.5,8.6,32,4.557305672,7.293213627,7095,3
HMC3,HMC3196,196,HMC West,TSCA,C,Li,39,11.7,24,4.758818724,10.68848185,7095,5
HMC3,HMC3197,197,HMC West,TSCA,C,Li,47.6,11.6,27,5.266289797,10.33567568,7095,4
HMC3,HMC3198,198,HMC West,TSCA,I,Li,29.5,15.5,106,14.89955629,-4.272379015,7095,20
HMC4,HMC4011,11,HMC Rush Lake,TSCA,I,Li,19.9,16,271,-15.99756312,0.279238503,7093,931
HMC4,HMC4012,12,HMC Rush Lake,ACSA,C,Li,35.9,6.6,322,-4.063365737,5.200870974,7093,46
HMC4,HMC4013,13,HMC Rush Lake,BEAL,Sn,Sn,61,5.5,315,-3.889087297,3.889087297,7093,45
HMC4,HMC4014,14,HMC Rush Lake,ACSA,D,Li,59.6,16,337,-6.251698056,14.72807766,7093,928
HMC4,HMC4015,15,HMC Rush Lake,TSCA,C,Li,41.4,10.2,330,-5.1,8.833459119,7093,55
HMC4,HMC4016,16,HMC Rush Lake,TSCA,Sn,Sn,93.4,13.6,34,7.605023487,11.27491099,7093,3
HMC4,HMC4017,17,HMC Rush Lake,TSCA,C,Li,39.6,8.9,25,3.761302529,8.066139305,7093,2
HMC4,HMC4018,18,HMC Rush Lake,TSCA,I,Li,26.7,10,326,-5.591929035,8.290375726,7093,49
HMC4,HMC4024,24,HMC Rush Lake,TSCA,Sn,Sn,17.6,8.8,287,-8.415481852,2.572871002,7093,42
HMC4,HMC4026,26,HMC Rush Lake,TSCA,D,Li,57.9,11.2,264,-11.13864523,-1.170718789,7093,40
HMC4,HMC4029,29,HMC Rush Lake,BEAL,D,Li,57.1,13.2,273,-13.18190986,0.690834622,7093,41
HMC4,HMC4037,37,HMC Rush Lake,TSCA,Sn,Sn,15.2,9.5,329,-4.892861712,8.143089357,7093,56
HMC4,HMC4038,38,HMC Rush Lake,TSCA,D,Li,89.5,13.7,305,-11.22238301,7.857997178,7093,52
HMC4,HMC4058,58,HMC Rush Lake,TSCA,C,Li,34.4,7.9,295,-7.159831518,3.338684268,7093,43
HMC4,HMC4081,81,HMC Rush Lake,TSCA,C,Li,32.1,6.5,295,-5.891000616,2.747018701,7093,44
HMC4,HMC4088,88,HMC Rush Lake,TSCA,I,Li,25.1,14.4,343,-4.210152548,13.77078849,7093,54
HMC4,HMC4091,91,HMC Rush Lake,TSCA,I,Li,17.8,13.8,11,2.633164136,13.54645513,7093,57
HMC4,HMC4113,113,HMC Rush Lake,BEAL,D,Li,41.8,15.3,136,10.62827307,-11.00589895,7093,20
HMC4,HMC4114,114,HMC Rush Lake,TSCA,I,Li,22,3.2,234,-2.588854382,-1.880912807,7093,38
HMC4,HMC4115,115,HMC Rush Lake,TSCA,D,Li,69,6.3,78,6.162329885,1.309843652,7093,5
HMC4,HMC4116,116,HMC Rush Lake,TSCA,S,Li,21.5,11,85,10.95814168,0.95871317,7093,6
HMC4,HMC4117,117,HMC Rush Lake,TSCA,,Sn,12.9,10.9,146,6.095202648,-9.036509541,7093,63
HMC4,HMC4118,118,HMC Rush Lake,TSCA,C,Li,46.8,14.1,122,11.95747816,-7.471861626,7093,11
HMC4,HMC4119,119,HMC Rush Lake,TSCA,I,Li,26.9,16,178,0.558391947,-15.99025323,7093,23
HMC4,HMC4120,120,HMC Rush Lake,ACSA,D,Li,38,10.6,135,7.495331881,-7.495331881,7093,18
HMC4,HMC4121,121,HMC Rush Lake,TSCA,I,Li,24.6,13.9,138,9.300915428,-10.32971307,7093,19
HMC4,HMC4122,122,HMC Rush Lake,TSCA,I,Li,24.9,10.6,237,-8.88990802,-5.773173771,7093,35
HMC4,HMC4123,123,HMC Rush Lake,TSCA,C,Li,49.4,5.4,220,-3.471053092,-4.136639993,7093,37
HMC4,HMC4124,124,HMC Rush Lake,TSCA,I,Li,20.6,13.9,165,3.597584727,-13.42636899,7093,22
HMC4,HMC4125,125,HMC Rush Lake,TSCA,D,Li,52.9,16,120,13.85640646,-8,7093,10
HMC4,HMC4162,162,HMC Rush Lake,TSCA,D,Li,58,15.3,219,-9.628601983,-11.89033321,7093,30
HMC4,HMC4163,163,HMC Rush Lake,ACSA,C,Li,49,15.2,152,7.135967754,-13.42080341,7093,21
HMC4,HMC4164,164,HMC Rush Lake,TSCA,I,Li,31.7,5.2,20,1.778504745,4.886401628,7093,1
HMC4,HMC4166,166,HMC Rush Lake,TSCA,S,Li,19,10.7,118,9.447539244,-5.023345722,7093,13
HMC4,HMC4173,173,HMC Rush Lake,TSCA,S,Li,14.4,9.1,170,1.580198417,-8.961750552,7093,27
HMC4,HMC4175,175,HMC Rush Lake,TIAM,D,Li,47,12.5,120,10.82531755,-6.25,7093,12
HMC4,HMC4192,192,HMC Rush Lake,TSCA,C,Li,38.7,6.1,127,4.871676611,-3.671071641,7093,15
HMC4,HMC4194,194,HMC Rush Lake,TSCA,I,Li,22.6,12.5,74,12.0157712,3.445466948,7093,7
HMC4,HMC4195,195,HMC Rush Lake,TSCA,I,Li,27.2,13.5,92,13.49177616,-0.471143205,7093,8
HMC4,HMC4196,196,HMC Rush Lake,TSCA,C,Li,36.5,2.9,129,2.253723288,-1.825029134,7093,16
HMC4,HMC4197,197,HMC Rush Lake,TSCA,D,Li,73.3,9.1,193,-2.047054595,-8.86676759,7093,28
HMC4,HMC4198,198,HMC Rush Lake,BEAL,D,Li,54.6,9.6,115,8.700554756,-4.057135313,7093,14
