"ID","distance","site","dbh","species"
"HMC3174",12.7,"HMC3",24,"ACSA"
"HMC2030",12.6,"HMC2",49.3,"TSCA"
"HMC4175",12.5,"HMC4",47,"TIAM"
"HMC4194",12.5,"HMC4",22.6,"TSCA"
"HMC2040",12.4,"HMC2",30.5,"TSCA"
"HMC3173",12.1,"HMC3",68.2,"POGR"
"HMC3164",12,"HMC3",16.7,"TSCA"
"HMC3121",11.9,"HMC3",51.2,"TSCA"
"HMC1024",11.8,"HMC1",23.2,"ASCA"
"HMC1028",11.8,"HMC1",50.3,"TSCA"
"HMC2055",11.8,"HMC2",47.7,"TSCA"
"HMC3084",11.8,"HMC3",29.7,"ACSA"
"HMC3125",11.8,"HMC3",28.3,"TSCA"
"HMC3196",11.7,"HMC3",39,"TSCA"
"HMC2045",11.6,"HMC2",36.5,"TSCA"
"HMC3197",11.6,"HMC3",47.6,"TSCA"
"HMC1008",11.5,"HMC1",26.7,"TSCA"
"HMC1016",11.5,"HMC1",32.6,"ACSA"
"HMC1030",11.4,"HMC1",37,"TSCA"
"HMC1013",11.2,"HMC1",39.2,"TSCA"
"HMC1025",11.2,"HMC1",22.8,"TSCA"
"HMC4026",11.2,"HMC4",57.9,"TSCA"
"HMC2051",11.1,"HMC2",66.4,"TSCA"
"HMC4116",11,"HMC4",21.5,"TSCA"
"HMC4117",10.9,"HMC4",12.9,"TSCA"
"HMC1007",10.8,"HMC1",37.8,"TSCA"
"HMC3078",10.8,"HMC3",44.3,"TSCA"
"HMC4166",10.7,"HMC4",19,"TSCA"
"HMC4120",10.6,"HMC4",38,"ACSA"
"HMC4122",10.6,"HMC4",24.9,"TSCA"
"HMC1010",10.5,"HMC1",36,"ACSA"
"HMC1040",10.5,"HMC1",15.6,"TSCA"
"HMC2002",10.3,"HMC2",20.1,"TSCA"
"HMC2052",10.3,"HMC2",19.5,"TSCA"
"HMC2058",10.3,"HMC2",50,"TIAM"
"HMC3042",10.3,"HMC3",18.8,"TSCA"
"HMC4015",10.2,"HMC4",41.4,"TSCA"
"HMC4018",10,"HMC4",26.7,"TSCA"
"HMC2001",9.9,"HMC2",52,"ACSA"
"HMC2057",9.9,"HMC2",61,"TSCA"
"HMC3041",9.9,"HMC3",54.4,"TSCA"
"HMC1035",9.8,"HMC1",15.9,"TSCA"
"HMC4198",9.6,"HMC4",54.6,"BEAL"
"HMC3080",9.5,"HMC3",35.7,"TSCA"
"HMC4037",9.5,"HMC4",15.2,"TSCA"
"HMC2031",9.4,"HMC2",47.5,"TSCA"
"HMC1031",9.1,"HMC1",47,"TSCA"
"HMC1032",9.1,"HMC1",23,"TSCA"
"HMC4173",9.1,"HMC4",14.4,"TSCA"
"HMC4197",9.1,"HMC4",73.3,"TSCA"
"HMC3124",8.9,"HMC3",21.6,"TSCA"
"HMC4017",8.9,"HMC4",39.6,"TSCA"
"HMC1033",8.8,"HMC1",32.8,"TSCA"
"HMC3047",8.8,"HMC3",19,"TSCA"
"HMC4024",8.8,"HMC4",17.6,"TSCA"
"HMC3075",8.7,"HMC3",40.4,"TSCA"
"HMC3118",8.6,"HMC3",54.8,"TSCA"
"HMC3195",8.6,"HMC3",44.5,"TSCA"
"HMC3049",8.3,"HMC3",37.2,"TSCA"
"HMC3120",8.3,"HMC3",20.3,"ACRU"
"HMC4058",7.9,"HMC4",34.4,"TSCA"
"HMC3027",7.8,"HMC3",30.2,"TSCA"
"HMC3043",7.7,"HMC3",49.5,"TSCA"
"HMC3046",7.7,"HMC3",10.4,"TSCA"
"HMC3114",7.5,"HMC3",26.4,"TSCA"
"HMC1015",7.4,"HMC1",61.1,"TSCA"
"HMC1003",7.2,"HMC1",43.1,"ACSA"
"HMC1021",7.2,"HMC1",55,"TSCA"
"HMC1027",7.2,"HMC1",31.4,"BEAL"
"HMC1014",7.1,"HMC1",31.8,"TSCA"
"HMC2042",6.9,"HMC2",68.2,"TSCA"
"HMC4012",6.6,"HMC4",35.9,"ACSA"
"HMC4081",6.5,"HMC4",32.1,"TSCA"
"HMC2027",6.4,"HMC2",37.9,"TSCA"
"HMC4115",6.3,"HMC4",69,"TSCA"
"HMC2044",6.1,"HMC2",47.9,"TSCA"
"HMC3039",6.1,"HMC3",26.5,"TSCA"
"HMC4192",6.1,"HMC4",38.7,"TSCA"
"HMC1026",6,"HMC1",35.9,"TSCA"
"HMC3077",5.9,"HMC3",22.6,"TSCA"
"HMC3113",5.8,"HMC3",60.3,"TSCA"
"HMC1006",5.75,"HMC1",33.3,"TSCA"
"HMC2047",5.7,"HMC2",44.9,"TSCA"
"HMC2054",5.5,"HMC2",59.9,"TIAM"
"HMC4013",5.5,"HMC4",61,"BEAL"
"HMC4123",5.4,"HMC4",49.4,"TSCA"
"HMC3119",5.3,"HMC3",31.6,"TSCA"
"HMC4164",5.2,"HMC4",31.7,"TSCA"
"HMC1004",4.9,"HMC1",45.6,"ASCA"
"HMC1002",4.6,"HMC1",24,"TSCA"
"HMC3051",4.5,"HMC3",23.4,"TSCA"
"HMC1001",4.3,"HMC1",26.6,"TSCA"
"HMC1005",4.2,"HMC1",24.1,"TSCA"
"HMC3055",4.1,"HMC3",30.7,"TSCA"
"HMC3038",3.5,"HMC3",46.2,"TSCA"
"HMC2037",3.4,"HMC2",56.3,"ACSA"
"HMC4114",3.2,"HMC4",22,"TSCA"
"HMC2043",3,"HMC2",53.3,"TSCA"
"HMC3194",2.9,"HMC3",17.2,"ACRU"
"HMC4196",2.9,"HMC4",36.5,"TSCA"
"HMC3045",2.2,"HMC3",21.6,"TSCA"
