"site","ID","species","distance","D62","D67","D89","D94","D99","D04","D09","D14"
"HMC1","HMC1020","TSCA",15.6,16.2,16.7,19.2,20.2,20.6,21,21.4,22
"HMC1","HMC1021","TSCA",7,44.1,45.2,50.5,51.7,52.6,53.4,54,56.2
"HMC1","HMC1022","TSCA",13.9,46.4,47.4,53.2,54.1,55.2,55.8,56.5,57.1
"HMC1","HMC1023","TSCA",13.2,47.2,49,56.3,57.5,59.1,60.6,62.5,63.6
"HMC1","HMC1024","ACSA",11.4,20.8,21,22.2,22.8,23.1,23.4,23.2,22.9
"HMC1","HMC1025","TSCA",10.8,19.5,20,21.5,21.8,21.9,22,22.4,22.6
"HMC1","HMC1026","TSCA",6.3,25.9,26.6,30.1,30.9,32,33.3,34.4,35.9
"HMC1","HMC1027","BEAL",6.7,26.6,27.4,30.8,30.8,30.4,30.9,31,30.8
"HMC1","HMC1028","TSCA",11.3,32.5,33.7,40.6,42.8,44.4,46.1,48,49.7
"HMC1","HMC1029","ACSA",12.3,35.5,35.8,38.4,37.9,37.3,37.7,38.3,39.7
"HMC1","HMC1030","TSCA",10.7,29.2,29.9,33.1,33.6,34.4,35,36,36.3
"HMC1","HMC1031","TSCA",8.2,36,37,41.7,42.8,44.3,45,45.7,46.8
"HMC1","HMC1032","TSCA",8.5,20.5,20.8,22,21.8,22.1,22.1,22.5,23.8
"HMC1","HMC1033","TSCA",8.2,25.9,26.6,29.2,29.6,30.3,30.8,31.7,32.2
"HMC1","HMC1034","TSCA",13.9,29.7,30.4,34.2,35,35.8,36.3,37.3,37.8
"HMC1","HMC1035","TSCA",9.1,14.7,14.7,15.6,15.4,15.6,15.6,15.5,15.9
"HMC1","HMC1036","TSCA",13.4,15.7,15.7,16.3,16.2,16.8,16.5,16.6,16.6
"HMC1","HMC1037","TSCA",13.3,15.7,16.2,18.2,18.5,18.5,18.8,19.4,19
"HMC1","HMC1038","TSCA",12.4,NA,NA,9.8,10.1,10.2,10.4,10.6,10.8
"HMC1","HMC1039","TSCA",12.9,17.7,18.7,21.5,22.4,22.7,22.7,22.9,23
"HMC1","HMC1040","TSCA",9.6,NA,12.7,15.3,14.1,14.8,15,15.3,14.9
"HMC1","HMC1041","TSCA",14.4,NA,NA,10.1,10,10,10.1,10.5,10.4
"HMC1","HMC1004C","TSCA",12.8,13.7,13.9,14.4,14.6,14.6,NA,NA,NA
"HMC1","HMC1005C","TSCA",12.4,12.9,12.9,13.2,13.1,13.1,NA,NA,NA
"HMC1","HMC1007C","BEAL",8.8,25.6,25.9,NA,NA,NA,NA,NA,NA
"HMC1","HMC1006C","TSCA",10.7,17,17.2,17.3,17.3,NA,NA,NA,NA
"HMC1","HMC1010C","TSCA",4.8,20,20.5,22.4,22.8,23.2,23.6,NA,NA
"HMC1","HMC1009C","ACSA",6.6,43.6,43.9,45.4,47.1,47.1,NA,NA,NA
"HMC1","HMC1017C","ACRU",13.7,25.6,25.9,27,27.1,27,NA,NA,NA
"HMC1","HMC1075C","OSVI",14.9,NA,NA,20.7,NA,NA,NA,NA,NA
"HMC1","HMC1074C","TSCA",11,NA,NA,7.5,7.7,7.9,8,8,NA
"HMC1","HMC1073C","OSVI",11.7,NA,NA,9.5,9.5,9.5,9.5,NA,NA
"HMC1","HMC1023C","BEAL",6.2,29.2,29.7,33,33.8,33.2,NA,NA,NA
"HMC1","HMC1020C","OSVI",14.2,15.4,15.7,16.6,17,17.4,17,17,17.1
"HMC1","HMC1024C","TSCA",6.3,13.9,14.2,15.1,15.8,15.2,15.4,15.5,15.4
"HMC1","HMC1025C","TSCA",5.4,16.7,17,17.4,18.4,17.7,17.4,NA,NA
"HMC1","HMC1934C","TSCA",15.8,NA,NA,NA,NA,7.4,7.4,NA,NA
"HMC1","HMC1935C","OSVI",14.8,NA,NA,16.4,16.8,17.1,17.4,17.8,NA
"HMC1","HMC1034C","BEAL",15.9,26.4,27.4,32.7,32.7,33.3,33.3,33.6,NA
"HMC1","HMC1027C","TSCA",4.7,12.9,13.2,13.5,13.4,13.4,13.5,13.4,NA
"HMC1","HMC1028C","TSCA",4.7,15.7,16,17.1,17.5,17.6,18.4,18.2,NA
"HMC1","HMC1936C","TSCA",9.6,NA,NA,NA,12.3,NA,NA,NA,NA
"HMC1","HMC1937C","TSCA",14,NA,NA,NA,12.3,12.2,NA,NA,NA
