"stemindex","Plot","No.","Sp","Azi","Dist.","D62","D67","D89","D94","D99","D04","D09","D14","dd67","dd89","dd94","dd99","dd04","dd09","dd14","89comm","94comm","99comm","04comm","09comm","14comm"
334,7093,917,"Belu",269,21.4,,,26.8,26.4,25,,,,,,,,1,,,,,,"broken at top",,
336,7093,931,"Tsca",274,16.5,,,19.2,19.1,19.1,19.8,19.6,19.8,,,,,,,,,,,,,
337,7093,919,"Belu",274,22.1,,,53,53.2,53.6,53.5,54.5,,,,,,,,1,,,,,"dying","2-standing"
338,7093,41,"Belu",277,13.4,51,51.5,55.5,55.7,56.1,56.2,56.7,57.8,,,,,,,,,,,,,
339,7093,932,"Tsca",287,17.5,,,35,35.5,36.4,36.5,38.8,40.3,,,,,,,,,,,,,
340,7093,42,"Tsca",288,9.1,16.7,17,17.4,17.6,17.9,17.8,17.8,17.8,,,,,,,,,,,,,
341,7093,50,"Tsca",291,15.2,19.3,19.5,20,20.1,20.2,,,,,,,,1,,,,,,"standing w/ twigs",,
347,7093,922,"Tsca",292,21.8,,,26,25.9,25.9,25.9,26.5,26.5,,,,,,,,,,,"not sure which tree is this one","Az:295",
342,7093,927,"Tsca",294,16.6,,,38.7,38.8,38.2,38,38.6,,,,,,,,1,,,,"sick",,"1-standing"
343,7093,51,"Acsa",295,15.6,28.4,28.7,30.9,31,30.7,,,,,,,,1,,,,,,"broken at base, losing bark, small br.",,
352,7093,59,"Tsca",295,3.4,,,7.5,7.5,7.6,7.5,7.7,,,,,,,,1,,,,,,
346,7093,44,"Tsca",297,6.8,27.9,28.4,30.7,30.9,31.1,31.3,31.8,31.8,,,,,,,,,,,,,
344,7093,43,"Tsca",298,8.2,26.6,27.4,31.4,31,31.4,32.2,32.6,33.6,,,,,,,,,,,,,
345,7093,64,"Tsca",304,13.3,,,5,4.7,4.9,4.8,4.9,5.1,,,,,,,,,,,,,
349,7093,52,"Tsca",311,13.7,67.3,68.8,79.5,81.3,83,85,87.5,88.6,,,,,,,,,,,,,
348,7093,925,"Tsca",312,16.4,,,11.8,11.6,11.8,12.1,12.7,12,,,,,,,,,,,,,
355,7093,45,"Belu",318,5.6,57.6,57.9,60.1,59.7,59.6,60.8,59.7,59.9,,,,,,,,,,,,,
350,7093,53,"Tsca",320,14.3,13.4,13.4,14.5,14,,,,,,,,1,,,,,,"small branches",,,
354,7093,46,"Acsa",322,6.4,33,33.5,35.7,36.6,35.9,36.2,36,34.8,,,,,,,,,,,,,
357,7093,47,"Tsca",328,6.7,13.9,13.9,14.1,14.2,,,,,,,,1,,,,,,"standing no branches",,,
353,7093,49,"Tsca",329,9.8,23.1,23.6,25.1,25.8,25.9,26.1,26.3,26.6,,,,,,,,,,,,,
351,7093,921,"Tsca",330,19.2,,,84.6,86.1,85.7,85.8,86.8,88.9,,,,,,,,,,,,,
356,7093,928,"Acru",336,16.3,,,54.5,55.6,56.5,57.5,58.1,58.5,,,,,,,,,,,,,
358,7093,54,"Tsca",345,14.3,23.3,23.6,24.2,24.3,24.3,24.6,24.7,25.1,,,,,,,,,,,,,
276,7093,56,"Tsca",350,9.2,13.7,13.9,14.9,15,15.1,15.4,15.2,15.3,,,,,,,,,,,,,
277,7093,55,"Tsca",351,10,28.1,29.2,35.1,36.4,37.9,39.6,40,40.6,,,,,,,,,,,,,
278,7093,923,"Tsca",359,17.5,,,54.4,54.8,56.5,56.7,59.7,61.6,,,,,,,,,,,,,
359,7094,2,"Acsa",5,6.9,32,32.5,36.7,38.6,38.4,40.9,41.8,41,,,,,,,,,,,,,
360,7094,918,"Acsa",5,16.4,,,49.2,49.7,49.2,49.2,50.5,49.1,,,,,,,,,,,,,
361,7094,4,"Tsca",30,12.8,13.7,13.9,14.4,14.6,14.6,,,,,,,,1,,,,,,"tipped over",,
362,7094,901,"Tiam",31,17.6,,,38.2,39.7,40.4,40.6,43,43.3,,,,,,,,,,,,,
363,7094,3,"Tsca",34,13.9,29.7,30.4,34.2,35,35.8,36.3,37.3,37.8,,,,,,,,,,,,,
364,7094,5,"Tsca",35,12.4,12.9,12.9,13.2,13.1,13.1,,,,,,,,1,,,,,,"tipped",,
365,7094,8,"Tsca",36,8.2,25.9,26.6,29.2,29.6,30.3,30.8,31.7,32.2,,,,,,,,,,,,,
366,7094,7,"Belu",37,8.8,25.6,25.9,,,,,,,,1,,,,,,"Dead. > 10 yrs. Broken",,,,,
367,7094,6,"Tsca",40,10.7,17,17.2,17.3,17.3,,,,,,,,1,,,,,,"standing w/ sm. branches",,,
368,7094,10,"Tsca",45,4.8,20,20.5,22.4,22.8,23.2,23.6,,,,,,,,1,,,,,"wrong distance",,
369,7094,9,"Acsa",49,6.6,43.6,43.9,45.4,47.1,47.1,,,,,,,,1,,,,,,"busted at base",,
371,7094,71,"Tsca",53,12.4,,,9.8,10.1,10.2,10.4,10.6,10.8,,,,,,,,,,,,,
370,7094,15,"Tsca",53,16,39.8,40.8,45.8,46.4,46.6,47.1,48.5,47.5,,,,,,,,,,,"wrong distance",,
